country_code,year,poor,population,region_name,country_name,effective_headcount
PNG,1981,2746263.6,3398000,East Asia & Pacific,Papua New Guinea,0.8082
POL,1981,225999.9,35873000,Europe & Central Asia,Poland,0.0063
PRI,1981,43582.1692652973,3231000,Other High Income Countries,Puerto Rico,0.0134887555757652
PRK,1981,16622206.6232968,17731000,East Asia & Pacific,"Korea, Dem. People's Rep.",0.93746582952438
PRT,1981,329825,9875000,Other High Income Countries,Portugal,0.0334
PRY,1981,195338.4,3272000,Latin America & Caribbean,Paraguay,0.0597
PSE,1981,121134,1553000,Middle East & North Africa,West Bank and Gaza,0.078
PYF,1981,2104.24586981937,156000,Other High Income Countries,French Polynesia,0.0134887555757652
QAT,1981,3345.21138278977,248000,Other High Income Countries,Qatar,0.0134887555757652
ROU,1981,170550,22740000,Europe & Central Asia,Romania,0.0075
RUS,1981,12121061.6,139003000,Europe & Central Asia,Russian Federation,0.0872
RWA,1981,4664975.5,5315000,Sub-Saharan Africa,Rwanda,0.8777
SAU,1981,139837.929053958,10367000,Other High Income Countries,Saudi Arabia,0.0134887555757652
SDN,1981,10601548.5,15027000,Sub-Saharan Africa,Sudan,0.7055
SEN,1981,4887500,5750000,Sub-Saharan Africa,Senegal,0.85
